Designator,Footprint,Quantity,Value,LCSC Part #
C14,0402,1,1uF_0402,C52923
"C2, C4, C5",0402,3,100nF_0402,C1525
"C3, C8",0402,2,10uF_0402,C15525
"D1, D2",0603,2,LED,C7496831
"I2C-1, I2C-2, I2C-3",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,3,BM04B-SRSS-TB(LF)(SN),C160390
J1,USB-TH_TYPE-C-16PFS-LCH7.45-IPX8,1,USB_C_Receptacle_USB2.0_16P,C3020054
MIC1,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,BM03B-SRSS-TB(LF)(SN),C160389
"R1, R4",0402,2,5.1K_0402,C25905
"R11, R8",0402,2,10K_0402,C25744
"R2, R3",0402,2,4.7K_0402,C25900
R7,0402,1,47K_0402,C25792
U1,SOT-23-5,1,AP2112K-3.3TRG1,
U4,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,SN74AHCT08PWR,C155175
U5,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,SN74AHCT245PWR,C10910
U6,SN74AHCT374PWR,1,74AHCT374,C141313
