Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 5V",LED0603-RD_PINK,2,XL-1608UVC-04,C7371898
"C1, C2, C5, C6, C7",0603,5,10uF,C19702
"C10, C11, C12, C13, C8, C9",0402,6,22uF,C415703
C3,0603,1,22uF,C59461
C4,0603,1,0.1uF,C14663
"I2C-1, I2C-2",CONN-SMD_BM04B-SRSS-TB,2,BM04B-SRSS-TB(LF)(SN),C160390
I2C-3,CONN-TH_B4B-PH-K-S-LF-SN,1,B4B-PH-K-K(LF)(SN),C5305780
IO1,HDR-TH_10P-P2.54-H-M-R2-C5-S2.54-N,1,2541WR-2X05P,C5383090
MIC,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,BM03B-SRSS-TB(LF)(SN),C160389
PANEL-PWR1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,XT30U-M,C99101
PWR-INPUT1,USB-TH_TYPE-C-16PFS-LCH7.45-IPX8,1,TYPE-C 16PFS LCH7.45 IPX8,C3020054
"R1, R4, R5",0201,3,10K_0201,C106225
"R2, R3",0402,2,4.7K_0402,C25900
"R6, R7",0603,2,5.1K_0603,C23186
U1,SOT-23-5,1,AP2112K-3.3TRG1,C51118
"U2, U3",HDR-TH_14P-P2.54-V-F-1,2,PM254-1-14-Z-8.5,C2897377
"U4, U5",SN74AHCT245PWR,2,SN74AHCT245PWR,C10910
U6,SN74AHCT374PWR,1,SN74AHCT374PWR,C141313
U8,HDR-TH_16P-P2.54-H-F-R2-C8-W9.0,1,HC-JN254-2-08-W, C5372877
