Designator,Mid X,Mid Y,Rotation,Layer
3V3,111.94,-132.18,180.0,top
5V,117.89,-132.12,180.0,top
C1,106.305,-126.9845,0.0,top
C10,120.196,-126.21,270.0,top
C11,121.324,-126.21,270.0,top
C12,122.452,-126.21,270.0,top
C13,123.58,-126.21,270.0,top
C2,114.035,-126.86,180.0,top
C3,134.275,-131.61,180.0,top
C4,137.425,-131.64,180.0,top
C5,124.27,-123.205,270.0,top
C6,116.26,-126.115,90.0,top
C7,106.965,-125.51,0.0,top
C8,117.94,-126.21,270.0,top
C9,119.068,-126.21,270.0,top
I2C-1,125.15,-132.8175,180.0,top
I2C-2,125.15,-136.4775,180.0,top
I2C-3,116.82,-136.28,0.0,top
IO1,127.43,-122.17,90.0,top
MIC,109.76,-135.65,270.0,top
PANEL-PWR1,133.71,-136.15,180.0,top
PWR-INPUT1,102.14,-136.9,0.0,top
R1,107.5,-128.18,0.0,top
R2,120.2,-127.9,180.0,top
R3,117.93,-127.9,180.0,top
R4,110.61,-131.42,0.0,top
R5,116.56,-131.36,0.0,top
R6,106.1,-132.355,90.0,top
R7,103.76,-132.355,270.0,top
U1,110.4875,-126.87,270.0,top
U2,120.65,-114.554,180.0,top
U3,120.65,-129.794,180.0,top
U4,113.345,-121.04,180.0,top
U5,120.2825,-121.04,180.0,top
U6,106.4075,-121.04,180.0,top
U8,100.02,-125.345,270.0,top
